情景,分类编码,分类名称,价格弹性,最优加价率,最优售价,7天补货量,7天利润
基准,1011010101,花叶类,-0.4520886367217105,1.0138982644614778,7.22174024079685,1182.60798191209,2517.32844361784
基准,1011010201,花菜类,-0.5029569742767076,0.7095397638439644,14.0,133.07315069438613,355.92517779890613
基准,1011010402,水生根茎类,-0.06962075043966616,0.4396168143593375,16.072135342102328,175.9063838375811,360.99479112646725
基准,1011010501,茄类,-0.25839911204098154,0.898917003685942,7.813987850816157,157.00501635940114,365.75877086030147
基准,1011010504,辣椒类,-0.1276236344079974,1.1403007931213738,6.788704734879955,540.6383857788588,1209.0390426401073
基准,1011010801,食用菌,-0.31278547344997326,0.8150408470937949,4.53418502060364,418.6577270600549,496.1430152248158
批发价+10%,1011010101,花叶类,-0.4520886367217105,1.0138982644614778,7.943914264876534,1132.7332354510768,2652.2802144664097
批发价+10%,1011010201,花菜类,-0.5029569742767076,0.5541270580399673,14.0,119.00823321904734,252.69198982204693
批发价+10%,1011010402,水生根茎类,-0.06962075043966616,0.3087425585084884,16.072135342102328,145.2954952917418,181.245353315567
批发价+10%,1011010501,茄类,-0.25839911204098154,0.8989170036859417,8.595386635897773,153.185513026005,392.54694456840855
批发价+10%,1011010504,辣椒类,-0.1276236344079974,1.1403007931213738,7.467575208367951,534.101985954857,1313.863735599961
批发价+10%,1011010801,食用菌,-0.31278547344997326,0.8150408470937949,4.987603522664004,406.3610563872069,529.7275206690895
批发价-10%,1011010101,花叶类,-0.4520886367217105,1.0138982644614778,6.499566216717165,1240.3014386140107,2376.1225393824066
批发价-10%,1011010201,花菜类,-0.5029569742767076,0.7876026722003373,13.17535523074272,143.52408771449987,392.58388502422645
批发价-10%,1011010402,水生根茎类,-0.06962075043966616,0.5995742381770415,16.072135342102328,203.73233226910008,573.0246838301305
批发价-10%,1011010501,茄类,-0.25839911204098154,0.898917003685942,7.032589065734542,161.3382059661234,338.2680295685841
批发价-10%,1011010504,辣椒类,-0.1276236344079974,1.1403007931213738,6.10983426139196,547.957171191175,1102.8655529875243
批发价-10%,1011010801,食用菌,-0.31278547344997326,0.8519936484139963,4.163847709049435,436.473242685631,487.7556180446928
弹性+20%,1011010101,花叶类,-0.5425063640660526,1.0138982644614778,7.22174024079685,1161.0737412632288,2471.49012920917
弹性+20%,1011010201,花菜类,-0.6035483691320491,0.7095397638439644,14.0,128.5822699093073,343.9136072186485
弹性+20%,1011010402,水生根茎类,-0.08354490052759939,0.4396168143593375,16.072135342102328,174.55037391238213,358.2119897918404
弹性+20%,1011010501,茄类,-0.31007893444917783,0.898917003685942,7.813987850816157,157.97312369770515,368.0140730049691
弹性+20%,1011010504,辣椒类,-0.15314836128959688,1.1403007931213738,6.788704734879955,543.9561231117784,1216.4585564486686
弹性+20%,1011010801,食用菌,-0.3753425681399679,0.8150408470937949,4.53418502060364,442.7607143055564,524.7069900304042
弹性-20%,1011010101,花叶类,-0.36167090937736845,1.0138982644614778,7.22174024079685,1204.541614523616,2564.0169135836745
弹性-20%,1011010201,花菜类,-0.4023655794213661,0.7095397638439644,14.0,137.72088055546902,368.3562660277129
弹性-20%,1011010402,水生根茎类,-0.05569660035173293,0.4396168143593375,16.072135342102328,177.27292804509662,363.79921089791014
弹性-20%,1011010501,茄类,-0.20671928963278524,0.898917003685942,7.813987850816157,156.04284187724716,363.517289892966
弹性-20%,1011010504,辣椒类,-0.10209890752639793,1.1403007931213738,6.788704734879955,537.3408842343466,1201.6647824777663
弹性-20%,1011010801,食用菌,-0.2502283787599786,0.8150408470937949,4.53418502060364,395.8668571171647,469.134004755889
损耗率=单品加权,1011010101,花叶类,-0.4520886367217105,1.0138982644614778,7.22174024079685,1162.2203187787022,2663.7911133213934
损耗率=单品加权,1011010201,花菜类,-0.5029569742767076,0.7095397638439644,14.0,132.95375156058995,432.1500678410766
损耗率=单品加权,1011010402,水生根茎类,-0.06962075043966616,0.4396168143593375,16.072135342102328,180.3900343534767,460.8141524354683
损耗率=单品加权,1011010501,茄类,-0.25839911204098154,0.898917003685942,7.813987850816157,156.8170990102766,368.0321077875736
损耗率=单品加权,1011010504,辣椒类,-0.1276236344079974,1.1403007931213738,6.788704734879955,538.6733957764782,1222.0197743549704
损耗率=单品加权,1011010801,食用菌,-0.31278547344997326,0.8150408470937949,4.53418502060364,411.82012383575005,558.4155043331441
价格口径=当期加权,1011010101,花叶类,-0.8388339444986179,1.2033343815345212,7.901048850307233,986.9501487371936,2576.478605538977
价格口径=当期加权,1011010201,花菜类,-0.5514808340307342,0.7095397638439644,14.0,171.88886170572846,463.0317348485326
