单品编码,单品名称,分类编码,分类名称,售出天数占比,有售日均销量,有售日变异系数,周末偏置,节假日脉冲,总销量占比,簇标签
102900005115168,牛首生菜,1011010101,花叶类,0.09315068493150686,8.821931372549018,0.5642524254405036,0.11393090742259049,-0.004182688446422778,0.0019351854376810308,3
102900005115199,四川红香椿,1011010101,花叶类,0.13789954337899543,2.2102450331125834,0.9911287507176062,0.5920104528684835,0.5246170837168573,0.0007177548092262611,4
102900005115250,西峡花菇(1),1011010801,食用菌,0.27123287671232876,9.483885521885522,1.1897514831957885,0.3912249414419524,0.4121284164905419,0.006057612561955428,5
102900005115748,白菜苔,1011010101,花叶类,0.08401826484018265,7.811695652173913,0.7319572914638911,0.46091242548318845,0.30702533686602074,0.0015455813993099344,3
102900005115762,苋菜,1011010101,花叶类,0.5799086757990868,8.039771653543307,0.6573755094892796,0.4203056841326662,0.4072077704462014,0.01097933862649377,5
102900005115779,云南生菜,1011010101,花叶类,0.7397260273972602,19.654793827160496,0.661702617662505,0.4486001989111923,0.45878197862989967,0.034238304652847856,2
102900005115786,竹叶菜,1011010101,花叶类,0.6091324200913242,10.874290854572713,0.772535538504802,0.3676146539135863,0.37702054314740785,0.015598596332099101,5
102900005115793,小白菜,1011010101,花叶类,0.4365296803652968,3.5795460251046025,0.6970135450577112,0.2728098934774892,0.28521914288344785,0.0036797184302682687,3
102900005115823,上海青,1011010101,花叶类,0.8392694063926941,8.280757344940152,0.8317320728309774,0.4026156869710533,0.45283824479255697,0.016366066458391525,5
102900005115854,萝卜叶,1011010101,花叶类,0.14977168949771688,2.5324695121951217,0.7918183294056768,0.4480027285703396,0.49064213824203007,0.0008931960920754255,4
102900005115861,牛首油菜,1011010101,花叶类,0.2602739726027397,13.4871649122807,0.7178077996420063,0.1692916020880748,0.24254507794715363,0.008266549456342344,3
102900005115878,茼蒿,1011010101,花叶类,0.4694063926940639,8.008416342412453,0.6586341360930106,0.545053058903753,0.5569966981707162,0.008852552331086422,4
102900005115885,蔡甸藜蒿,1011010101,花叶类,0.27671232876712326,3.1115544554455443,0.8529313560221148,0.832088353493017,0.7733317591262145,0.002027583624402102,4
102900005115908,菜心,1011010101,花叶类,0.6493150684931507,6.328521800281294,0.932761428403462,0.34879492789298605,0.33693135443213285,0.009676774523047368,5
102900005115946,木耳菜,1011010101,花叶类,0.38447488584474887,3.7251543942992873,0.6102734474815152,0.3149443576983946,0.2877885891803853,0.0033727574772550862,3
102900005115960,大白菜,1011010101,花叶类,0.4383561643835616,40.010354166666666,0.9728718260946874,0.42584152324950675,0.39206976620358946,0.04130212280124187,1
102900005115984,云南油麦菜,1011010101,花叶类,0.7141552511415525,13.18771611253197,0.8293273583960813,0.5634565829326139,0.5993480224921743,0.022178648767059283,2
102900005116219,红尖椒,1011010504,辣椒类,0.2867579908675799,1.4029968152866241,0.8335126522438332,0.3725983400586519,0.42942137879780984,0.0009474255091771504,4
102900005116226,青尖椒,1011010504,辣椒类,0.5634703196347032,1.9259756888168558,0.7404630856824121,0.3468107184286986,0.32409790722848486,0.0025556107446161784,5
102900005116233,红椒(1),1011010504,辣椒类,0.6894977168949772,4.584944370860927,2.0788852885255,0.2381509913534663,0.19541925458886156,0.007444572486123715,5
102900005116257,紫茄子(2),1011010501,茄类,0.9333333333333333,13.32284833659491,0.6803315657969766,0.43204708198961095,0.4735371367028376,0.029282403474605385,2
102900005116509,青茄子(1),1011010501,茄类,0.771689497716895,4.167170414201183,1.0202409921500462,0.3241966548634334,0.3123774863462514,0.0075728038957092,5
102900005116530,西峡香菇(1),1011010801,食用菌,0.7497716894977169,14.54077101096224,0.7728987260082849,0.5507541316896793,0.5792725971493433,0.025673751473910638,2
102900005116547,金针菇(1),1011010801,食用菌,0.4091324200913242,10.496272321428572,0.6807479187007076,0.44754233598710447,0.5865910379097785,0.010112809919097174,4
102900005116639,马齿苋,1011010101,花叶类,0.08493150684931507,1.0195591397849462,0.7271060609843435,0.054782775268470196,-0.00231868002483282,0.00020391731837597003,3
102900005116714,西兰花,1011010201,花菜类,0.982648401826484,25.627009293680295,0.6162030192432021,0.4939414392075927,0.5262351843309627,0.059301945076026624,2
102900005116790,黄心菜(1),1011010101,花叶类,0.40821917808219177,6.545089485458613,1.1144602556943632,0.6041152986338638,0.6059888147705916,0.00629190059052773,5
102900005116837,平菇,1011010801,食用菌,0.33059360730593607,7.02768232044199,0.6974907693332346,0.3557952703110516,0.32058308812997005,0.005471160212743791,3
102900005116899,净藕(1),1011010402,水生根茎类,0.965296803652968,25.717576158940396,0.7863466138459695,0.5152803320054709,0.5686822882746558,0.05846066651084885,2
102900005116912,姬菇(1),1011010801,食用菌,0.28127853881278536,1.2182532467532468,0.4885497848197333,0.23294908583739615,0.23991469570312285,0.0008069507591903335,3
102900005116943,红杭椒,1011010504,辣椒类,0.536986301369863,1.1220442176870746,1.1346102987742155,0.409938403522889,0.3903111912282411,0.0014188812137479478,5
102900005117056,泡泡椒(精品),1011010504,辣椒类,0.20821917808219179,42.59179385964912,0.46937469500092577,0.45680540744622133,0.34295807304156045,0.020884280583210537,1
102900005117209,七彩椒(1),1011010504,辣椒类,0.2593607305936073,0.9267323943661973,1.5166346667332244,-0.040182186234817285,0.018247780337730113,0.0005660195409992543,3
102900005118572,本地上海青,1011010101,花叶类,0.05570776255707763,9.781918032786885,0.5740674254314404,-0.05839754093783267,0.13473166185403462,0.0012832539061051708,3
102900005118817,菠菜,1011010101,花叶类,0.6666666666666666,7.151116438356165,0.7958468908015146,0.4942619227249945,0.6015805779498,0.01122678614916685,5
102900005118824,高瓜(1),1011010402,水生根茎类,0.4968036529680365,2.169595588235294,0.748515729148598,0.18493963939069524,0.25031268189005096,0.002538261890406167,3
102900005118831,娃娃菜,1011010101,花叶类,0.628310502283105,13.113372093023257,1.4657837636609388,0.2458581599193641,0.22876625531786487,0.019402672949387797,5
102900005119098,双孢菇,1011010801,食用菌,0.2045662100456621,2.8052142857142854,0.47656077988219464,0.20350446469000683,0.12211100634354244,0.0013513654174086588,3
